Name,Stmts,Miss,Cover
Lib\test\test_complex.py,600,596,1%
Lib\test\test_concurrent_futures.py,921,692,25%
Lib\test\test_configparser.py,1335,1138,15%
Lib\test\test_contains.py,72,57,21%
Lib\test\test_context.py,749,662,12%
Lib\test\test_contextlib.py,909,783,14%
Lib\test\test_contextlib_async.py,553,551,1%
Lib\test\test_copy.py,761,672,12%
Lib\test\test_copyreg.py,73,70,4%
Lib\test\test_cprofile.py,50,46,8%
Lib\test\test_crashers.py,22,8,64%
Lib\test\test_crypt.py,85,59,31%
Lib\test\test_csv.py,953,763,20%
Lib\test\test_ctypes.py,6,3,50%
Lib\test\test_curses.py,1034,1023,1%
Lib\test\test_dataclasses.py,2751,2578,6%
Lib\test\test_datetime.py,42,36,14%
Lib\test\test_dbm.py,156,107,31%
Lib\test\test_dbm_dumb.py,229,183,20%
Lib\test\test_dbm_gnu.py,139,136,2%
Lib\test\test_dbm_ndbm.py,112,109,3%
Lib\test\test_decimal.py,3752,3733,1%
Lib\test\test_decorators.py,322,289,10%
Lib\test\test_defaultdict.py,160,140,12%
Lib\test\test_deque.py,767,667,13%
Lib\test\test_descr.py,4382,4167,5%
Lib\test\test_descrtut.py,65,31,52%
Lib\test\test_devpoll.py,105,98,7%
Lib\test\test_dict.py,1195,1075,10%
Lib\test\test_dict_version.py,102,76,25%
Lib\test\test_dictcomps.py,70,57,19%
Lib\test\test_dictviews.py,271,248,8%
Lib\test\test_difflib.py,284,226,20%
Lib\test\test_dis.py,625,584,7%
Lib\test\test_distutils.py,11,6,45%
Lib\test\test_doctest2.py,33,14,58%
Lib\test\test_doctest.py,171,84,51%
Lib\test\test_docxmlrpc.py,111,110,1%
Lib\test\test_dtrace.py,100,51,49%
Lib\test\test_dynamic.py,94,78,17%
Lib\test\test_dynamicclassattribute.py,221,143,35%
Lib\test\test_eintr.py,13,3,77%
Lib\test\test_email\__init__.py,83,25,70%
Lib\test\test_email\test__encoded_words.py,113,60,47%
Lib\test\test_email\test__header_value_parser.py,1268,919,28%
Lib\test\test_email\test_asian_codecs.py,44,32,27%
Lib\test\test_email\test_contentmanager.py,424,338,20%
Lib\test\test_email\test_defect_handling.py,133,93,30%
Lib\test\test_email\test_email.py,3014,2994,1%
Lib\test\test_email\test_generator.py,148,103,30%
Lib\test\test_email\test_headerregistry.py,539,403,25%
Lib\test\test_email\test_inversion.py,36,16,56%
Lib\test\test_email\test_message.py,332,266,20%
Lib\test\test_email\test_parser.py,57,31,46%
Lib\test\test_email\test_pickleable.py,44,15,66%
Lib\test\test_email\test_policy.py,237,164,31%
Lib\test\test_email\test_utils.py,129,80,38%
Lib\test\test_email\torture_test.py,47,30,36%
Lib\test\test_embed.py,772,613,21%
Lib\test\test_ensurepip.py,189,137,28%
Lib\test\test_enum.py,3325,3313,1%
Lib\test\test_enumerate.py,219,146,33%
Lib\test\test_eof.py,59,45,24%
Lib\test\test_epoll.py,167,158,5%
Lib\test\test_errno.py,17,8,53%
Lib\test\test_exception_group.py,566,494,13%
